0   ,   0   ,   1
-1   ,   -1   ,   1
-2   ,   -1   ,   1
-3   ,   0   ,   1
-4   ,   -1   ,   1
-3   ,   -2   ,   1
-2   ,   -2   ,   1
-1   ,   -2   ,   1
0   ,   -2   ,   1
1   ,   -1   ,   1
1   ,   3   ,   1
3   ,   3   ,   1
3   ,   4   ,   1
-2   ,   4   ,   1
-2   ,   3   ,   1
0   ,   3   ,   1
0   ,   0   ,   -1
-1   ,   -1   ,   -1
-2   ,   -1   ,   -1
-3   ,   0   ,   -1
-4   ,   -1   ,   -1
-3   ,   -2   ,   -1
-2   ,   -2   ,   -1
-1   ,   -2   ,   -1
0   ,   -2   ,   -1
1   ,   -1   ,   -1
1   ,   3   ,   -1
3   ,   3   ,   -1
3   ,   4   ,   -1
-2   ,   4   ,   -1
-2   ,   3   ,   -1
0   ,   3   ,   -1
4.924261   ,   0.3444786   ,   -0.6019922   ,   0
-0.7524902   ,   3.422488   ,   -1.980955   ,   0
0.4305983   ,   2.041546   ,   3.422488   ,   0
0   ,   0   ,   0   ,   1
-0.6019922   ,   -1.980955   ,   3.422488
-5.870731   ,   -4.650952   ,   0.9503436
-10.79499   ,   -3.898462   ,   0.5197453
-15.37477   ,   0.2765159   ,   2.130693
-20.64351   ,   -2.393482   ,   -0.3414512
-16.06373   ,   -6.56846   ,   -1.952399
-11.13947   ,   -7.320951   ,   -1.521801
-6.21521   ,   -8.073441   ,   -1.091202
-1.290949   ,   -8.825931   ,   -0.6606042
3.97779   ,   -6.155933   ,   1.81154
5.355704   ,   7.534019   ,   9.977724
15.20423   ,   6.029038   ,   10.83892
15.5487   ,   9.451527   ,   12.88047
-9.072599   ,   13.21398   ,   10.72748
-9.417078   ,   9.79149   ,   8.68593
0.4314436   ,   8.28651   ,   9.547127
0.6019922   ,   1.980955   ,   -3.422488
-4.666747   ,   -0.689043   ,   -5.894632
-9.591007   ,   0.06344724   ,   -6.325231
-14.17079   ,   4.238425   ,   -4.714283
-19.43953   ,   1.568428   ,   -7.186427
-14.85975   ,   -2.60655   ,   -8.797375
-9.935486   ,   -3.359041   ,   -8.366776
-5.011226   ,   -4.111531   ,   -7.936178
-0.08696502   ,   -4.864021   ,   -7.50558
5.181774   ,   -2.194023   ,   -5.033436
6.559689   ,   11.49593   ,   3.132749
16.40821   ,   9.990948   ,   3.993945
16.75269   ,   13.41344   ,   6.035491
-7.868615   ,   17.17589   ,   3.8825
-8.213093   ,   13.7534   ,   1.840954
1.635428   ,   12.24842   ,   2.70215
